iter	MultiClass
0	1.565386207
1	1.530161827
2	1.501696493
3	1.477863459
4	1.458631233
5	1.443308782
6	1.428835951
7	1.417234227
8	1.404006594
9	1.393477174
10	1.384061975
11	1.375142305
12	1.368590319
13	1.360493212
14	1.354301509
15	1.348314738
16	1.342359314
17	1.338033642
18	1.334500673
19	1.330164531
20	1.326688622
21	1.321845932
22	1.31924999
23	1.314294278
24	1.310087358
25	1.306933106
26	1.30273459
27	1.30017016
28	1.297561945
29	1.295049269
30	1.292855585
31	1.290472544
32	1.288271978
33	1.285903582
34	1.282906756
35	1.279055488
36	1.276627929
37	1.274262976
38	1.270688997
39	1.268234386
40	1.266312658
41	1.264654875
42	1.262427245
43	1.259989836
44	1.257795094
45	1.255808146
46	1.253920435
47	1.251560254
48	1.249487596
49	1.246439691
50	1.244085311
51	1.242396453
52	1.24063543
53	1.238803191
54	1.236890457
55	1.235395211
56	1.233910073
57	1.232054568
58	1.230253368
59	1.228403639
60	1.227002433
61	1.2250532
62	1.223619335
63	1.222003069
64	1.2207237
65	1.219282931
66	1.217505523
67	1.216139832
68	1.214675474
69	1.21359965
70	1.212396203
71	1.210934651
72	1.209701512
73	1.208342833
74	1.206838772
75	1.205746887
76	1.204717366
77	1.203420931
78	1.202203875
79	1.200740362
80	1.199479658
81	1.198114442
82	1.196656422
83	1.19485392
84	1.193699781
85	1.192329614
86	1.191284341
87	1.189817238
88	1.18783981
89	1.186541755
90	1.18532794
91	1.184242612
92	1.182824145
93	1.181303138
94	1.180140933
95	1.178925009
96	1.177413314
97	1.176152857
98	1.174680962
99	1.173608243
100	1.1723585
101	1.170584984
102	1.168922277
103	1.16788575
104	1.166731698
105	1.165465502
106	1.164097293
107	1.162998792
108	1.161921646
109	1.160673692
110	1.159622918
111	1.158098842
112	1.157109281
113	1.155915286
114	1.154681034
115	1.153531126
116	1.152229477
117	1.151134447
118	1.150166768
119	1.148989396
120	1.147715894
121	1.146741824
122	1.1457938
123	1.144416837
124	1.143421783
125	1.14254865
126	1.141388103
127	1.140477301
128	1.139463962
129	1.138518129
130	1.137447626
131	1.136481572
132	1.135587769
133	1.13463766
134	1.13369824
135	1.13254249
136	1.131518092
137	1.130546734
138	1.12945948
139	1.128481328
140	1.127715785
141	1.126893231
142	1.125952123
143	1.125048743
144	1.123928817
145	1.12303936
146	1.122165279
147	1.121159423
148	1.120381543
149	1.119612633
150	1.1183976
151	1.11765554
152	1.11681271
153	1.115926988
154	1.115048166
155	1.114034255
156	1.113161126
157	1.112375974
158	1.111645924
159	1.110717703
160	1.109821763
161	1.108929448
162	1.10811425
163	1.107314923
164	1.106509781
165	1.105664346
166	1.104969866
167	1.104219417
168	1.103590591
169	1.102675662
170	1.101368618
171	1.100596959
172	1.099663612
173	1.098643705
174	1.097887627
175	1.097218949
176	1.096525979
177	1.095801764
178	1.095184566
179	1.094497366
180	1.093766737
181	1.092942594
182	1.092208047
183	1.091339856
184	1.090502043
185	1.089770859
186	1.089122602
187	1.08841847
188	1.087752978
189	1.087074406
190	1.086403608
191	1.085583652
192	1.084964341
193	1.084276917
194	1.083548783
195	1.082885526
196	1.082088276
197	1.081387013
198	1.080659981
199	1.079955734
200	1.079267191
201	1.078711088
202	1.078073175
203	1.077403067
204	1.076822309
205	1.076256849
206	1.07561859
207	1.075113992
208	1.074513303
209	1.073666735
210	1.072978701
211	1.072226067
212	1.071350172
213	1.070759965
214	1.070350208
215	1.069788755
216	1.069138742
217	1.068533473
218	1.067827292
219	1.067138018
220	1.066112951
221	1.065427022
222	1.064998756
223	1.064246502
224	1.06347219
225	1.062976606
226	1.062385488
227	1.06190268
228	1.061268577
229	1.060580822
230	1.060063515
231	1.059453249
232	1.058784084
233	1.057974443
234	1.057484687
235	1.056509701
236	1.055904149
237	1.055402905
238	1.054775213
239	1.054250269
240	1.053894115
241	1.053396857
242	1.052665481
243	1.052249301
244	1.051797362
245	1.051274494
246	1.050726469
247	1.050310133
248	1.04974579
249	1.049058604
250	1.048519407
251	1.047989307
252	1.047254127
253	1.046858371
254	1.046439849
255	1.04583477
256	1.045269424
257	1.044740891
258	1.044194813
259	1.043757131
260	1.043082116
261	1.042593075
262	1.04210463
263	1.041595354
264	1.041075434
265	1.040585534
266	1.040207201
267	1.039777671
268	1.03938058
269	1.038895264
270	1.038470311
271	1.038007587
272	1.03741578
273	1.036982304
274	1.036505546
275	1.035992568
276	1.035572615
277	1.035117317
278	1.03457488
279	1.034095055
280	1.033593449
281	1.033126843
282	1.032639707
283	1.032201363
284	1.031700854
285	1.031355724
286	1.030993914
287	1.030628068
288	1.030196738
289	1.029738311
290	1.02930825
291	1.028871762
292	1.028297265
293	1.027799207
294	1.027418654
295	1.026884268
296	1.026476313
297	1.026140001
298	1.025677354
299	1.025318949
300	1.02495568
301	1.024616895
302	1.024168924
303	1.023789408
304	1.023388139
305	1.022928947
306	1.022466094
307	1.02212029
308	1.021654379
309	1.02122421
310	1.020737653
311	1.020279943
312	1.019761392
313	1.019157052
314	1.018653644
315	1.018271139
316	1.017820829
317	1.017510375
318	1.017098766
319	1.016532137
320	1.016123088
321	1.015764414
322	1.015306822
323	1.014820353
324	1.014508481
325	1.014122031
326	1.013713419
327	1.013285042
328	1.012838981
329	1.012605989
330	1.012256929
331	1.011745883
332	1.011361526
333	1.011004093
334	1.010593719
335	1.01018163
336	1.009810413
337	1.009486736
338	1.009107466
339	1.008676208
340	1.008311684
341	1.007899561
342	1.007495863
343	1.007129932
344	1.00672479
345	1.006192149
346	1.005569369
347	1.005169311
348	1.004792674
349	1.0045742
350	1.004244834
351	1.003748467
352	1.003328184
353	1.002905478
354	1.002514914
355	1.002002391
356	1.00135501
357	1.000938802
358	1.00056484
359	1.000053814
360	0.9994110205
361	0.9990842925
362	0.998704136
363	0.9983148423
364	0.9979039874
365	0.9975018091
366	0.9972462638
367	0.996797935
368	0.996627836
369	0.996217982
370	0.9959230696
371	0.9955464226
372	0.9952809139
373	0.9949153486
374	0.9945987377
375	0.994173789
376	0.9939498514
377	0.9935794505
378	0.9931925846
379	0.9927710338
380	0.992442218
381	0.9920976741
382	0.9917774919
383	0.991502655
384	0.9911858962
385	0.9907953609
386	0.9903827739
387	0.9901313458
388	0.9897870839
389	0.9894539338
390	0.9888631715
391	0.9885727973
392	0.9882468677
393	0.9880653937
394	0.9877444145
395	0.9876211085
396	0.9872088525
397	0.9868644944
398	0.9863062624
399	0.986064992
400	0.9856734487
401	0.9853393336
402	0.9850082819
403	0.9844549578
404	0.9842271633
405	0.9839588108
406	0.9835687053
407	0.9832485185
408	0.9828430379
409	0.9824787288
410	0.9821148798
411	0.9817546787
412	0.9813159656
413	0.9810829317
414	0.9808531731
415	0.9804585389
416	0.9801258987
417	0.9798009926
418	0.9794331646
419	0.9791608052
420	0.978740362
421	0.978501688
422	0.9782599135
423	0.9778873074
424	0.9775054722
425	0.9772064501
426	0.9768572738
427	0.9765824599
428	0.9762723918
429	0.9760545083
430	0.9757619452
431	0.9754550769
432	0.9751338821
433	0.9748608616
434	0.9743511855
435	0.9741437146
436	0.9736207837
437	0.9731902332
438	0.9728698689
439	0.972691601
440	0.9724477649
441	0.9721631029
442	0.9718215453
443	0.9715319632
444	0.971285892
445	0.9709916647
446	0.9707710316
447	0.9705886478
448	0.9702459565
449	0.9701694213
450	0.9698880547
451	0.9695961825
452	0.9693808429
453	0.9690225898
454	0.968707506
455	0.9684783895
456	0.9680580896
457	0.9676942477
458	0.9674020155
459	0.967093464
460	0.9669055452
461	0.9666914657
462	0.966343492
463	0.9660390921
464	0.9657746369
465	0.9654014989
466	0.96511641
467	0.9647946973
468	0.9644152028
469	0.9641960217
470	0.9639042293
471	0.9636654092
472	0.9633432505
473	0.9631154077
474	0.9627631053
475	0.9625403664
476	0.9622367164
477	0.9619303343
478	0.9617489779
479	0.9614517809
480	0.9612188287
481	0.9610099046
482	0.9607026692
483	0.9603563639
484	0.9599957421
485	0.9598046478
486	0.9594321975
487	0.9591720299
488	0.9589783768
489	0.9587482064
490	0.9584732414
491	0.9582497626
492	0.9581068548
493	0.9579408269
494	0.9577134489
495	0.9575291073
496	0.9572574531
497	0.9569734068
498	0.9567064479
499	0.9564570333
500	0.956160254
501	0.9558777855
502	0.9556095389
503	0.9553300002
504	0.9550626837
505	0.9546796828
506	0.954269576
507	0.9540287521
508	0.9538343844
509	0.9536090059
510	0.9533791404
511	0.953129593
