iter	Passed	Remaining
0	790	403924
1	1038	264917
2	1272	215956
3	1468	186499
4	1650	167319
5	1827	154111
6	2044	147522
7	2227	140317
8	2405	134456
9	2647	132918
10	2826	128717
11	3007	125320
12	3202	122911
13	3383	120364
14	3562	118039
15	3750	116266
16	3939	114706
17	4136	113516
18	4315	111969
19	4505	110830
20	4684	109535
21	4886	108839
22	5096	108355
23	5303	107846
24	5496	107070
25	5697	106506
26	5898	105962
27	6089	105269
28	6283	104644
29	6468	103930
30	6657	103292
31	6872	103085
32	7060	102486
33	7246	101871
34	7440	101405
35	7682	101582
36	7883	101206
37	8088	100897
38	8277	100390
39	8471	99968
40	8657	99450
41	8835	98868
42	9006	98232
43	9220	98073
44	9410	97661
45	9587	97125
46	9766	96624
47	9938	96073
48	10120	95630
49	10303	95201
50	10476	94703
51	10656	94265
52	10873	94169
53	11103	94173
54	11313	94001
55	11524	93838
56	11723	93579
57	11950	93540
58	12140	93211
59	12318	92799
60	12497	92399
61	12681	92040
62	12859	91650
63	13036	91255
64	13223	90938
65	13429	90749
66	13624	90490
67	13814	90199
68	13993	89845
69	14184	89565
70	14393	89402
71	14592	89177
72	14785	88915
73	14978	88654
74	15177	88433
75	15363	88137
76	15568	87953
77	15755	87662
78	15947	87408
79	16140	87157
80	16319	86836
81	16496	86504
82	16676	86195
83	16856	85888
84	17037	85587
85	17221	85304
86	17397	84988
87	17586	84732
88	17767	84446
89	17950	84169
90	18156	83996
91	18373	83879
92	18632	83944
93	18834	83751
94	19027	83520
95	19251	83421
96	19489	83383
97	19693	83193
98	19885	82956
99	20084	82746
100	20270	82485
101	20451	82208
102	20651	82003
103	20834	81735
104	21010	81442
105	21208	81232
106	21383	80937
107	21558	80644
108	21736	80366
109	21919	80104
110	22096	79825
111	22285	79591
112	22471	79344
113	22653	79087
114	22837	78840
115	23015	78570
116	23210	78360
117	23389	78096
118	23572	77849
119	23782	77688
120	23961	77427
121	24163	77243
122	24339	76974
123	24514	76707
124	24698	76466
125	24879	76218
126	25056	75957
127	25240	75721
128	25432	75509
129	25617	75275
130	25815	75080
131	26012	74884
